#             sqrt(s)             alpha_s           alpha_qed              weight            beam1_px            beam1_py            beam1_pz             beam1_E            beam2_px            beam2_py            beam2_pz             beam2_E           final1_px           final1_py           final1_pz            final1_E           final2_px           final2_py           final2_pz            final2_E
                  90               0.118          0.00729915                   1                   0                   0            -43.7878             43.7878                   0                   0             43.7878             43.7878            -3.75526            -9.87027            -42.4953             43.7878             3.75526             9.87027             42.4953             43.7878
                  90               0.118          0.00729915                   1                   0                   0            -36.0272             36.0272                   0                   0             36.0272             36.0272            -3.52274             6.79597            -35.2046             36.0272             3.52274            -6.79597             35.2046             36.0272
                  90               0.118          0.00729915                   1                   0                   0            -41.9825             41.9825                   0                   0             41.9825             41.9825             3.51886            -41.6613            -3.80588             41.9825            -3.51886             41.6613             3.80588             41.9825
                  90               0.118          0.00729915                   1                   0                   0            -47.2254             47.2254                   0                   0             47.2254             47.2254            -6.11011           0.0384445            -46.8285             47.2254             6.11011          -0.0384445             46.8285             47.2254
                  90               0.118          0.00729915                   1                   0                   0             -44.199              44.199                   0                   0              44.199              44.199              14.982            -2.60945            -41.5004              44.199             -14.982             2.60945             41.5004              44.199
                  90               0.118          0.00729915                   1                   0                   0            -45.4047             45.4047                   0                   0             45.4047             45.4047            -31.8037            -4.26132             -32.124             45.4047             31.8037             4.26132              32.124             45.4047
                  90               0.118          0.00729915                   1                   0                   0            -48.6458             48.6458                   0                   0             48.6458             48.6458            -15.0918            -37.8738            -26.5373             48.6458             15.0918             37.8738             26.5373             48.6458
                  90               0.118          0.00729915                   1                   0                   0            -54.0575             54.0575                   0                   0             54.0575             54.0575             12.9083             -11.193            -51.2866             54.0575            -12.9083              11.193             51.2866             54.0575
                  90               0.118          0.00729915                   1                   0                   0            -50.8896             50.8896                   0                   0             50.8896             50.8896             35.5504             18.9242            -31.1093             50.8896            -35.5504            -18.9242             31.1093             50.8896
                  90               0.118          0.00729915                   1                   0                   0            -45.9877             45.9877                   0                   0             45.9877             45.9877             -10.857            -9.63943            -43.6357             45.9877              10.857             9.63943             43.6357             45.9877
                  90               0.118          0.00729915                   1                   0                   0            -46.8521             46.8521                   0                   0             46.8521             46.8521             8.35441            -18.6736              -42.15             46.8521            -8.35441             18.6736               42.15             46.8521
                  90               0.118          0.00729915                   1                   0                   0             -46.752              46.752                   0                   0              46.752              46.752            -36.1953            -25.2332            -15.4574              46.752             36.1953             25.2332             15.4574              46.752
                  90               0.118          0.00729915                   1                   0                   0            -44.9194             44.9194                   0                   0             44.9194             44.9194             4.55276            -5.07355            -44.3991             44.9194            -4.55276             5.07355             44.3991             44.9194
                  90               0.118          0.00729915                   1                   0                   0              -50.93               50.93                   0                   0               50.93               50.93            -47.9789             -12.574            -11.5664               50.93             47.9789              12.574             11.5664               50.93
                  90               0.118          0.00729915                   1                   0                   0            -45.4869             45.4869                   0                   0             45.4869             45.4869             26.5093            -4.72772            -36.6601             45.4869            -26.5093             4.72772             36.6601             45.4869
                  90               0.118          0.00729915                   1                   0                   0            -45.6295             45.6295                   0                   0             45.6295             45.6295            -9.26678            -4.92787             -44.406             45.6295             9.26678             4.92787              44.406             45.6295
                  90               0.118          0.00729915                   1                   0                   0            -45.4019             45.4019                   0                   0             45.4019             45.4019            -5.96709             4.08121            -44.8227             45.4019             5.96709            -4.08121             44.8227             45.4019
                  90               0.118          0.00729915                   1                   0                   0            -42.4445             42.4445                   0                   0             42.4445             42.4445             4.31728             -3.4646             -42.082             42.4445            -4.31728              3.4646              42.082             42.4445
                  90               0.118          0.00729915                   1                   0                   0            -45.5078             45.5078                   0                   0             45.5078             45.5078             21.4685            -17.2923            -36.2083             45.5078            -21.4685             17.2923             36.2083             45.5078
                  90               0.118          0.00729915                   1                   0                   0             -52.825              52.825                   0                   0              52.825              52.825             3.58829             4.47162            -52.5129              52.825            -3.58829            -4.47162             52.5129              52.825
                  90               0.118          0.00729915                   1                   0                   0            -48.5736             48.5736                   0                   0             48.5736             48.5736            -6.87326            -3.31255            -47.9706             48.5736             6.87326             3.31255             47.9706             48.5736
                  90               0.118          0.00729915                   1                   0                   0            -47.9443             47.9443                   0                   0             47.9443             47.9443            -2.56751            -4.71233             -47.643             47.9443             2.56751             4.71233              47.643             47.9443
                  90               0.118          0.00729915                   1                   0                   0             -46.323              46.323                   0                   0              46.323              46.323            -19.5149             33.9273            -24.7777              46.323             19.5149            -33.9273             24.7777              46.323
                  90               0.118          0.00729915                   1                   0                   0            -46.4765             46.4765                   0                   0             46.4765             46.4765             -7.2039            -2.04966             -45.869             46.4765              7.2039             2.04966              45.869             46.4765
                  90               0.118          0.00729915                   1                   0                   0            -53.5855             53.5855                   0                   0             53.5855             53.5855            -6.70798             6.04501            -52.8191             53.5855             6.70798            -6.04501             52.8191             53.5855
                  90               0.118          0.00729915                   1                   0                   0            -48.0632             48.0632                   0                   0             48.0632             48.0632            -11.9934            -1.39005             -46.522             48.0632             11.9934             1.39005              46.522             48.0632
                  90               0.118          0.00729915                   1                   0                   0             -45.486              45.486                   0                   0              45.486              45.486            -13.0736            -39.5157            -18.3456              45.486             13.0736             39.5157             18.3456              45.486
                  90               0.118          0.00729915                   1                   0                   0            -47.7665             47.7665                   0                   0             47.7665             47.7665             10.8414            -1.11771            -46.5065             47.7665            -10.8414             1.11771             46.5065             47.7665
                  90               0.118          0.00729915                   1                   0                   0             -47.247              47.247                   0                   0              47.247              47.247            0.979067            -5.56079            -46.9084              47.247           -0.979067             5.56079             46.9084              47.247
                  90               0.118          0.00729915                   1                   0                   0            -45.5258             45.5258                   0                   0             45.5258             45.5258            -36.8666             17.8121            -19.9041             45.5258             36.8666            -17.8121             19.9041             45.5258
                  90               0.118          0.00729915                   1                   0                   0            -46.5795             46.5795                   0                   0             46.5795             46.5795             8.80922            -41.3817            -19.4834             46.5795            -8.80922             41.3817             19.4834             46.5795
                  90               0.118          0.00729915                   1                   0                   0            -46.7504             46.7504                   0                   0             46.7504             46.7504            -2.14603             33.5239            -32.5138             46.7504             2.14603            -33.5239             32.5138             46.7504
